molecule_chembl_id,pref_name,clean_smiles,first_approval,pred_IDO1,pred_TDO2,pred_M,pred_D,LCB_IDO1,LCB_TDO2,LCB_dual,P_dual_active,P_balanced_dual,AD_maxTanimoto,in_domain
CHEMBL1200850,GANCICLOVIR SODIUM,Nc1nc([O-])c2ncn(COC(CO)CO)c2n1,1989.0,6.76,6.39,6.58,0.37,5.34,5.22,5.22,0.68,0.635,0.13,False
CHEMBL2079793,PENCICLOVIR SODIUM,Nc1nc([O-])c2ncn(CCC(CO)CO)c2n1,1996.0,6.64,6.47,6.55,0.16,5.21,5.3,5.21,0.674,0.63,0.132,False
CHEMBL144673,HEXETIDINE,CCCCC(CC)CN1CN(CC(CC)CCCC)CC(C)(N)C1,,6.72,6.37,6.54,0.35,5.29,5.19,5.19,0.652,0.613,0.129,False
CHEMBL1200937,DALFOPRISTIN,CCN(CC)CCS(=O)(=O)[C@@H]1CCN2C(=O)c3coc(n3)CC(=O)C[C@H](O)/C=C(C)/C=C/CNC(=O)/C=C/[C@@H](C)[C@@H](C(C)C)OC(=O)[C@@H]12,1999.0,6.71,6.37,6.54,0.34,5.28,5.19,5.19,0.652,0.619,0.151,False
CHEMBL231779,APIXABAN,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,2011.0,6.61,6.42,6.51,0.2,5.19,5.24,5.19,0.657,0.619,0.23,False
CHEMBL1908360,EVEROLIMUS,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,2009.0,6.71,6.34,6.53,0.37,5.29,5.17,5.17,0.646,0.613,0.139,False
CHEMBL1714574,TERCONAZOLE,CC(C)N1CCN(c2ccc(OCC3COC(Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,1987.0,6.69,6.34,6.52,0.36,5.27,5.16,5.16,0.646,0.613,0.245,False
CHEMBL413,SIROLIMUS,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,1999.0,6.68,6.32,6.5,0.36,5.26,5.15,5.15,0.646,0.613,0.145,False
CHEMBL218650,DELAMANID,C[C@]1(COc2ccc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)cc2)Cn2cc([N+](=O)[O-])nc2O1,2014.0,6.9,6.33,6.61,0.57,5.47,5.15,5.15,0.674,0.613,0.305,True
CHEMBL1380,ABACAVIR,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,1998.0,6.68,6.31,6.5,0.38,5.26,5.13,5.13,0.641,0.608,0.173,False
CHEMBL991,STAVUDINE,Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,1994.0,6.6,6.3,6.45,0.3,5.17,5.13,5.13,0.619,0.591,0.167,False
CHEMBL1658,RETAPAMULIN,C=C[C@]1(C)C[C@@H](OC(=O)CS[C@@H]2C[C@H]3CC[C@@H](C2)N3C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,2007.0,6.65,6.29,6.47,0.36,5.23,5.12,5.12,0.635,0.602,0.186,False
CHEMBL1540,PENCICLOVIR,Nc1nc(O)c2ncn(CCC(CO)CO)c2n1,1996.0,6.66,6.24,6.45,0.42,5.23,5.06,5.06,0.586,0.547,0.149,False
CHEMBL554,LAPATINIB,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,2007.0,6.51,6.23,6.37,0.28,5.09,5.06,5.06,0.536,0.519,0.25,False
CHEMBL1534,RIBOFLAVIN,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,1993.0,6.59,6.22,6.41,0.37,5.17,5.05,5.05,0.558,0.53,0.216,False
CHEMBL444633,RIFABUTIN,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O,1992.0,6.71,6.23,6.47,0.49,5.28,5.05,5.05,0.586,0.552,0.171,False
CHEMBL1286,LEVETIRACETAM,CC[C@@H](C(N)=O)N1CCCC1=O,1999.0,6.56,6.22,6.39,0.34,5.14,5.05,5.05,0.547,0.525,0.194,False
CHEMBL30219,METHOHEXITAL SODIUM,C=CCC1(C(C)C#CCC)C(=O)N=C([O-])N(C)C1=O,1960.0,6.47,6.22,6.34,0.25,5.05,5.04,5.04,0.519,0.503,0.127,False
CHEMBL2028663,DABRAFENIB,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,2013.0,6.44,6.29,6.37,0.15,5.02,5.12,5.02,0.564,0.536,0.215,False
CHEMBL3099695,OSILODROSTAT,N#Cc1ccc([C@H]2CCc3cncn32)c(F)c1,2020.0,6.65,6.19,6.42,0.46,5.23,5.02,5.02,0.575,0.536,0.385,True
CHEMBL3261331,RESMETIROM,CC(C)c1cc(Oc2c(Cl)cc(-n3nc(C#N)c(=O)[nH]c3=O)cc2Cl)n[nH]c1=O,2024.0,6.96,6.19,6.57,0.77,5.53,5.01,5.01,0.597,0.475,0.203,False
CHEMBL3989697,RIBOFLAVIN 5'-PHOSPHATE SODIUM,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])O)c2cc1C,1985.0,6.56,6.19,6.37,0.37,5.13,5.01,5.01,0.53,0.503,0.222,False
CHEMBL1201182,TEMSIROLIMUS,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,2007.0,6.57,6.17,6.37,0.39,5.14,5.0,5.0,0.525,0.492,0.14,False
CHEMBL1201794,RIBOFLAVIN 5'-PHOSPHATE,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C,1985.0,6.54,6.18,6.36,0.37,5.12,5.0,5.0,0.514,0.486,0.228,False
CHEMBL744,RILUZOLE,Nc1nc2ccc(OC(F)(F)F)cc2s1,1995.0,6.49,6.17,6.33,0.32,5.06,5.0,5.0,0.514,0.492,0.219,False
CHEMBL191083,METHYLENE BLUE CATION,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,2011.0,6.43,6.26,6.34,0.17,5.0,5.08,5.0,0.536,0.514,0.254,False
CHEMBL1560089,XANTHINOL NIACINATE,CN(CCO)CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,,6.41,6.25,6.33,0.16,4.99,5.08,4.99,0.536,0.514,0.169,False
CHEMBL7413,METHOHEXITAL,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,1960.0,6.42,6.17,6.3,0.26,5.0,4.99,4.99,0.503,0.486,0.149,False
CHEMBL1752,DYPHYLLINE,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,1951.0,6.4,6.23,6.31,0.18,4.98,5.05,4.98,0.519,0.497,0.157,False
CHEMBL1191,SULFAMETHIZOLE,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,1953.0,6.41,6.16,6.28,0.25,4.98,4.98,4.98,0.475,0.464,0.228,False
CHEMBL148,IMIPENEM ANHYDROUS,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,1985.0,6.47,6.16,6.31,0.31,5.04,4.98,4.98,0.475,0.464,0.15,False
CHEMBL374478,RIFAMPIN,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,1971.0,6.82,6.16,6.49,0.66,5.39,4.98,4.98,0.552,0.508,0.158,False
CHEMBL346235,DIAMTHAZOLE DIHYDROCHLORIDE,CCN(CC)CCOc1ccc2nc(N(C)C)sc2c1,,6.44,6.16,6.3,0.28,5.01,4.98,4.98,0.475,0.464,0.175,False
CHEMBL13280,FLUNITRAZEPAM,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,,6.42,6.15,6.28,0.27,4.99,4.97,4.97,0.475,0.464,0.365,True
CHEMBL1580,PENTOSTATIN,OC[C@H]1O[C@@H](n2cnc3c2N=CNC[C@H]3O)C[C@@H]1O,1991.0,6.52,6.14,6.33,0.38,5.1,4.97,4.97,0.481,0.464,0.165,False
CHEMBL607400,BRIVARACETAM,CCC[C@@H]1CC(=O)N([C@@H](CC)C(N)=O)C1,2016.0,6.67,6.15,6.41,0.53,5.25,4.97,4.97,0.536,0.514,0.219,False
CHEMBL168815,CEVIMELINE,CC1OC2(CS1)CN1CCC2CC1,2000.0,6.4,6.14,6.27,0.26,4.97,4.96,4.96,0.464,0.453,0.133,False
CHEMBL225071,RALTITREXED,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,,6.41,6.14,6.28,0.27,4.98,4.96,4.96,0.47,0.459,0.241,False
CHEMBL3707306,STRONTIUM RANELATE,N#Cc1c(N(CC(=O)[O-])CC(=O)[O-])sc(C(=O)[O-])c1CC(=O)[O-],2004.0,6.38,6.17,6.28,0.21,4.96,4.99,4.96,0.492,0.47,0.141,False
CHEMBL15870,INDOPROFEN,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,1979.0,6.39,6.24,6.31,0.15,4.96,5.06,4.96,0.514,0.486,0.286,False
CHEMBL1754,DOXAPRAM,CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,1965.0,6.37,6.23,6.3,0.14,4.95,5.05,4.95,0.508,0.481,0.253,False
CHEMBL18,ETHOXZOLAMIDE,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,1982.0,6.43,6.13,6.28,0.3,5.0,4.95,4.95,0.459,0.448,0.2,False
CHEMBL365795,TIAPROFENIC ACID,CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1,,6.38,6.14,6.26,0.24,4.95,4.96,4.95,0.459,0.448,0.211,False
CHEMBL1201754,RUFINAMIDE,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,2007.0,6.36,6.23,6.3,0.13,4.94,5.06,4.94,0.508,0.481,0.228,False
CHEMBL1444,LETROZOLE,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,1997.0,6.4,6.11,6.26,0.29,4.98,4.94,4.94,0.459,0.448,0.275,False
CHEMBL1349,VALACYCLOVIR,CC(C)[C@H](N)C(=O)OCCOCn1cnc2c(=O)nc(N)[nH]c21,1995.0,6.6,6.11,6.36,0.49,5.17,4.94,4.94,0.492,0.475,0.155,False
CHEMBL1200438,TIOCONAZOLE,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,1983.0,6.39,6.12,6.26,0.27,4.97,4.94,4.94,0.453,0.442,0.262,False
CHEMBL1449,TICARCILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(=O)O)c3ccsc3)C(=O)N2[C@H]1C(=O)O,1976.0,6.39,6.11,6.25,0.28,4.96,4.93,4.93,0.442,0.431,0.23,False
CHEMBL118,CELECOXIB,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,1998.0,6.39,6.11,6.25,0.28,4.97,4.93,4.93,0.448,0.436,0.356,True
CHEMBL1200454,VALGANCICLOVIR HYDROCHLORIDE,CC(C)[C@H](N)C(=O)OCC(CO)OCn1cnc2c(=O)nc(N)[nH]c21,2001.0,6.59,6.11,6.35,0.48,5.16,4.93,4.93,0.481,0.464,0.153,False
CHEMBL93,ZILEUTON,CC(c1cc2ccccc2s1)N(O)C(N)=O,1996.0,6.57,6.11,6.34,0.46,5.14,4.93,4.93,0.47,0.448,0.2,False
CHEMBL182,GANCICLOVIR,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,1989.0,6.6,6.11,6.36,0.49,5.18,4.93,4.93,0.486,0.47,0.152,False
