molecule_chembl_id,pref_name,smiles,first_approval,oral,withdrawn_flag,clean_smiles,ido1_pred,tdo2_pred,ido1_prob,tdo2_prob,ido1_ad,tdo2_ad,selectivity
CHEMBL2,PRAZOSIN,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,1976.0,True,False,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,5.870013686535609,5.7459121403961,0.314,0.284,0.35,0.24390243902439024,0.12410154613950919
CHEMBL3,NICOTINE,CN1CCC[C@H]1c1cccnc1,1984.0,True,False,CN1CCC[C@H]1c1cccnc1,5.110873717167956,5.901504531858285,0.27486666666666665,0.289,0.2711864406779661,0.2711864406779661,-0.7906308146903287
CHEMBL4,OFLOXACIN,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1990.0,True,False,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,5.944702833743385,5.576886625500777,0.3277424242424242,0.326,0.2375,0.2375,0.3678162082426075
CHEMBL5,NALIDIXIC ACID,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,1964.0,True,False,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,5.0406183934111946,5.886229473464661,0.166,0.278,0.24561403508771928,0.21621621621621623,-0.8456110800534669
CHEMBL6,INDOMETHACIN,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,1965.0,True,False,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.611627470607215,5.320881527603857,0.22841666666666668,0.158,0.3055555555555556,0.22666666666666666,-0.7092540569966417
CHEMBL403,SULBACTAM,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,1986.0,False,False,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,5.438201812907371,5.628182793455789,0.2612,0.236,0.1864406779661017,0.1724137931034483,-0.18998098054841783
CHEMBL404,TAZOBACTAM,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,1993.0,False,False,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,5.868152977412762,5.948161628535679,0.30119999999999997,0.321,0.21518987341772153,0.21518987341772153,-0.08000865112291766
CHEMBL8,CIPROFLOXACIN,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,1987.0,True,False,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,6.310688081879185,5.29580145409235,0.3007333333333334,0.315,0.2702702702702703,0.2702702702702703,1.0148866277868347
CHEMBL9,NORFLOXACIN,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,1986.0,True,False,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,5.676896760451136,5.3041237411602005,0.2813666666666667,0.263,0.2702702702702703,0.2702702702702703,0.37277301929093554
CHEMBL405,AMPHETAMINE,CC(N)Cc1ccccc1,1955.0,True,False,CC(N)Cc1ccccc1,4.875071351816276,5.47189512742942,0.06,0.127,0.38461538461538464,0.3,-0.596823775613144
CHEMBL6622,ISOSORBIDE DINITRATE,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],1986.0,True,False,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],5.066333764444325,5.606049894084005,0.1712,0.182,0.15384615384615385,0.109375,-0.5397161296396797
CHEMBL6437,MIANSERIN,CN1CCN2c3ccccc3Cc3ccccc3C2C1,,False,True,CN1CCN2c3ccccc3Cc3ccccc3C2C1,4.939063222010184,5.543171474480716,0.19666666666666668,0.302,0.2391304347826087,0.23809523809523808,-0.6041082524705317
CHEMBL11,IMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccccc21,1959.0,True,False,CN(C)CCCN1c2ccccc2CCc2ccccc21,4.9788691613895715,5.383159104829337,0.174,0.206,0.234375,0.23333333333333334,-0.40428994343976576
CHEMBL406,INDAPAMIDE,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,1983.0,True,False,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,6.3007357863835045,5.289906637964108,0.38388181818181816,0.262,0.24691358024691357,0.21518987341772153,1.010829148419396
