clean_smiles,pIC50,molecule_chembl_id,n_measurements,pref_name,pains
Brc1cc(-c2c[nH]nn2)ccn1,5.509544031111578,CHEMBL2147995,2,,False
Brc1cc(NCC2CCCCC2)c2cn[nH]c2c1,5.962573502059376,CHEMBL5218714,1,,False
Brc1cc(NCC2CCCCC23OCCO3)c2cn[nH]c2c1,4.4939010400715595,CHEMBL5218741,1,,False
Brc1cc(NC[C@@H]2CCCCN2)c2cn[nH]c2c1,4.861697301833718,CHEMBL5219328,1,,False
Brc1cc(NC[C@@H]2CCCN2)c2cn[nH]c2c1,5.324221658325915,CHEMBL5220477,1,,False
Brc1cc(NC[C@H]2CCCCN2)c2cn[nH]c2c1,4.760450279159527,CHEMBL5220520,1,,False
Brc1cc(NC[C@H]2CCCN2)c2cn[nH]c2c1,4.248336053739013,CHEMBL5221102,1,,False
Brc1cc(NCc2cccc3nonc23)c2cn[nH]c2c1,6.130768280269024,CHEMBL4570374,3,,False
Brc1cc(NCc2ccccn2)c2cn[nH]c2c1,4.2877713303804645,CHEMBL5219298,1,,False
Brc1cc(Nc2ccc3nonc3c2)c2cn[nH]c2c1,4.130768280269024,CHEMBL5288709,1,,False
Brc1ccc(-c2csc3nccn23)cc1,6.420788219768501,CHEMBL4556305,1,,False
Brc1ccc(C(Cn2ccnc2)OCc2nc3ccccc3s2)cc1,4.30715308072277,CHEMBL4741786,1,,False
Brc1ccc2[nH]c(-c3cncn3Cc3ccc(-c4ccccc4)cc3)cc2c1,4.467247488450805,CHEMBL4162371,2,,False
Brc1ccc2[nH]c(-c3cncn3Cc3ccccc3)cc2c1,4.876258869661473,CHEMBL4165816,2,,False
Brc1ccc2[nH]c(Cn3cncc3-c3ccc[nH]3)cc2c1,6.510041520575165,CHEMBL5938071,1,,False
Brc1ccc2[nH]c(Cn3cncc3-c3ccccc3)cc2c1,5.903089986991944,CHEMBL4177139,2,,False
