clean_smiles,pIC50,molecule_chembl_id,n_measurements,pref_name,pains,MW,LogP,HBD,HBA,TPSA,RotB,AromRings,QED,HeavyAtoms,scaffold,tsne1,tsne2
Brc1cc(-c2c[nH]nn2)ccn1,5.509544031111578,CHEMBL2147995,2,,False,225.04900000000004,1.6291999999999993,1.0,3.0,54.46,1.0,2.0,0.7500452002195512,12.0,c1cc(-c2c[nH]nn2)ccn1,-13.150323,-1.7496194
Brc1cc(NCC2CCCCC2)c2cn[nH]c2c1,5.962573502059376,CHEMBL5218714,1,,False,308.2229999999999,4.317600000000002,2.0,2.0,40.71,3.0,2.0,0.8864186841599198,18.0,c1cc(NCC2CCCCC2)c2cn[nH]c2c1,-38.289825,-7.6434283
Brc1cc(NCC2CCCCC23OCCO3)c2cn[nH]c2c1,4.4939010400715595,CHEMBL5218741,1,,False,366.259,3.670600000000001,2.0,4.0,59.169999999999995,3.0,2.0,0.8703986998105362,22.0,c1cc(NCC2CCCCC23OCCO3)c2cn[nH]c2c1,-37.789093,-7.7428913
Brc1cc(NC[C@@H]2CCCCN2)c2cn[nH]c2c1,4.861697301833718,CHEMBL5219328,1,,False,309.21099999999996,2.8794000000000004,3.0,3.0,52.74,3.0,2.0,0.8170061792976289,18.0,c1cc(NC[C@@H]2CCCCN2)c2cn[nH]c2c1,-38.188522,-7.1351557
Brc1cc(NC[C@@H]2CCCN2)c2cn[nH]c2c1,5.324221658325915,CHEMBL5220477,1,,False,295.18399999999997,2.4893,3.0,3.0,52.74,3.0,2.0,0.8151942858120472,17.0,c1cc(NC[C@@H]2CCCN2)c2cn[nH]c2c1,-37.95392,-7.1473255
Brc1cc(NC[C@H]2CCCCN2)c2cn[nH]c2c1,4.760450279159527,CHEMBL5220520,1,,False,309.21099999999996,2.8794000000000004,3.0,3.0,52.74,3.0,2.0,0.8170061792976289,18.0,c1cc(NC[C@H]2CCCCN2)c2cn[nH]c2c1,-38.188522,-7.1351557
Brc1cc(NC[C@H]2CCCN2)c2cn[nH]c2c1,4.248336053739013,CHEMBL5221102,1,,False,295.18399999999997,2.4893,3.0,3.0,52.74,3.0,2.0,0.8151942858120472,17.0,c1cc(NC[C@H]2CCCN2)c2cn[nH]c2c1,-37.95392,-7.1473255
Brc1cc(NCc2cccc3nonc23)c2cn[nH]c2c1,6.130768280269024,CHEMBL4570374,3,,False,344.172,3.473700000000001,2.0,5.0,79.63,3.0,4.0,0.5948700992418501,21.0,c1cc(CNc2cccc3[nH]ncc23)c2nonc2c1,-35.884144,-5.9274726
Brc1cc(NCc2ccccn2)c2cn[nH]c2c1,4.2877713303804645,CHEMBL5219298,1,,False,303.163,3.3325000000000005,2.0,3.0,53.6,3.0,3.0,0.7800736852712628,18.0,c1ccc(CNc2cccc3[nH]ncc23)nc1,-35.85482,-6.432322
Brc1cc(Nc2ccc3nonc3c2)c2cn[nH]c2c1,4.130768280269024,CHEMBL5288709,1,,False,330.14500000000004,3.605200000000001,2.0,5.0,79.63,2.0,4.0,0.586903246543577,20.0,c1cc(Nc2ccc3nonc3c2)c2cn[nH]c2c1,-35.122055,-6.0173283
Brc1ccc(-c2csc3nccn23)cc1,6.420788219768501,CHEMBL4556305,1,,False,279.162,3.825300000000002,0.0,2.0,17.3,1.0,3.0,0.661481933569501,15.0,c1ccc(-c2csc3nccn23)cc1,1.3980434,8.143643
Brc1ccc(C(Cn2ccnc2)OCc2nc3ccccc3s2)cc1,4.30715308072277,CHEMBL4741786,1,,False,414.3280000000001,5.213400000000003,0.0,4.0,39.94,6.0,4.0,0.4347798572413061,25.0,c1ccc(C(Cn2ccnc2)OCc2nc3ccccc3s2)cc1,-77.56219,0.8313709
