r_from,r_to,n_pairs,dM,dD,dIDO1,dTDO2
C*,FC(F)(F)*,20,-0.23,0.22,-0.12,-0.34
FC(F)(F)*,C*,20,0.23,-0.22,0.12,0.34
F*,Cl*,19,-0.06,-0.01,-0.06,-0.05
Cl*,F*,19,0.06,0.01,0.06,0.05
C1CCC(C*)CC1,C1CCC(*)CC1,17,0.21,-0.38,0.02,0.4
FC(F)(F)*,C1CC1*,17,0.53,-0.05,0.5,0.55
C1CC1*,FC(F)(F)*,17,-0.53,0.05,-0.5,-0.55
C1CCC(*)CC1,C1CCC(C*)CC1,17,-0.21,0.38,-0.02,-0.4
CC*,C*,17,0.09,-0.18,-0.0,0.18
C*,CC*,17,-0.09,0.18,0.0,-0.18
C1CC1*,C*,15,-0.21,-0.6,-0.52,0.09
C*,C1CC1*,15,0.21,0.6,0.52,-0.09
Cl*,C*,14,-0.03,-0.2,-0.13,0.07
C*,Cl*,14,0.03,0.2,0.13,-0.07
c1ccc(*)cc1,C*,13,0.79,0.04,0.81,0.77
OC(C1CCCCC1)*,OC(CC1CCCCC1)*,13,-0.26,0.36,-0.08,-0.44
OC(CC1CCCCC1)*,OC(C1CCCCC1)*,13,0.26,-0.36,0.08,0.44
C*,c1ccc(*)cc1,13,-0.79,-0.04,-0.81,-0.77
CC*,FC(F)(F)*,12,-0.43,-0.01,-0.43,-0.43
FC(F)(F)*,Cl*,12,0.14,-0.3,-0.01,0.3
Cl*,FC(F)(F)*,12,-0.14,0.3,0.01,-0.3
FC(F)(F)*,CC*,12,0.43,0.01,0.43,0.43
F*,CO*,11,-0.11,0.03,-0.09,-0.12
Cl*,Br*,11,0.22,0.16,0.3,0.14
Br*,Cl*,11,-0.22,-0.16,-0.3,-0.14
CO*,F*,11,0.11,-0.03,0.09,0.12
FC(F)(F)*,Br*,11,0.18,0.1,0.23,0.14
Br*,FC(F)(F)*,11,-0.18,-0.1,-0.23,-0.14
C*,CO*,10,-0.44,0.3,-0.28,-0.59
CO*,C*,10,0.44,-0.3,0.28,0.59
Br*,F*,9,0.05,-0.16,-0.03,0.13
F*,Br*,9,-0.05,0.16,0.03,-0.13
C*,F*,9,0.17,0.58,0.47,-0.12
F*,C*,9,-0.17,-0.58,-0.47,0.12
CC(C)*,C*,9,0.51,0.09,0.55,0.46
CC*,C1CC1*,9,-0.22,0.21,-0.12,-0.32
C*,CC(C)*,9,-0.51,-0.09,-0.55,-0.46
C1CC1*,CC*,9,0.22,-0.21,0.12,0.32
CC*,c1ccc(*)cc1,8,-0.8,-0.52,-1.06,-0.54
c1ccc(*)cc1,FC(F)(F)*,8,0.22,0.62,0.53,-0.09
FC(F)(F)*,c1ccc(*)cc1,8,-0.22,-0.62,-0.53,0.09
c1ccc(*)cc1,CC*,8,0.8,0.52,1.06,0.54
CO*,FC(F)(F)*,7,-0.34,-0.52,-0.6,-0.08
c1ccc(*)cc1,c1ccc(C*)cc1,7,-0.42,-0.02,-0.43,-0.41
CC(C)*,c1ccc(*)cc1,7,-0.24,-0.31,-0.39,-0.08
FC(F)(F)*,CO*,7,0.34,0.52,0.6,0.08
C1CCC(*)C1,C1CCC(*)CC1,7,0.12,0.25,0.25,-0.01
c1ccc(C*)cc1,c1ccc(*)cc1,7,0.42,0.02,0.43,0.41
Cl*,CO*,7,0.01,0.08,0.05,-0.04
Cl*,C1CC1*,7,0.41,0.92,0.87,-0.05
c1ccc(*)cc1,CC(C)*,7,0.24,0.31,0.39,0.08
C1CC1*,Cl*,7,-0.41,-0.92,-0.87,0.05
C1CCC(*)C1,c1ccc(*)cc1,7,-0.33,-0.02,-0.35,-0.32
CO*,Cl*,7,-0.01,-0.08,-0.05,0.04
C1CCC(*)CC1,C1CCC(*)C1,7,-0.12,-0.25,-0.25,0.01
c1ccc(*)cc1,C1CCC(*)C1,7,0.33,0.02,0.35,0.32
C1CCC(*)C1,C1CC(*)C1,6,-0.0,0.24,0.12,-0.12
CC1(C)CCC(*)CC1,C1CCC(*)C1,6,0.41,-0.08,0.37,0.45
CC*,CC(C)*,6,-0.48,-0.37,-0.66,-0.29
C1CC(*)C1,C1CCC(*)C1,6,0.0,-0.24,-0.12,0.12
CC1(C)CCC(*)C1,C1CCC(*)C1,6,0.11,0.02,0.12,0.1
CC(C)*,CC*,6,0.48,0.37,0.66,0.29
C1CCC(*)C1,CC1(C)CCC(*)CC1,6,-0.41,0.08,-0.37,-0.45
C1CCC(*)C1,CC1(C)CCC(*)C1,6,-0.11,-0.02,-0.12,-0.1
c1csc(*)c1,c1ccc(*)cc1,5,0.1,-0.04,0.08,0.12
CC(C)(C)*,c1ccc(*)cc1,5,0.38,0.11,0.43,0.32
Cl*,CC*,5,0.08,0.15,0.16,0.01
c1ccc(*)cc1,CC(C)(C)*,5,-0.38,-0.11,-0.43,-0.32
C1CCC(*)CC1,CC1(C)CCC(*)CC1,5,-0.51,-0.24,-0.63,-0.39
CC*,Cl*,5,-0.08,-0.15,-0.16,-0.01
c1ccc(*)cc1,C1CC(*)C1,5,0.12,0.18,0.22,0.03
C1CC(*)C1,CC*,5,0.23,0.48,0.47,-0.01
CC*,C1CC(*)C1,5,-0.23,-0.48,-0.47,0.01
CC(C)(C)*,FC(F)(F)*,5,0.63,0.5,0.88,0.38
O=[N+]([O-])*,F*,5,-0.25,-0.08,-0.29,-0.21
F*,O=[N+]([O-])*,5,0.25,0.08,0.29,0.21
C1CCC(*)CC1,c1ccc(*)cc1,5,-0.66,-0.45,-0.89,-0.44
C1CC(*)C1,c1ccc(*)cc1,5,-0.12,-0.18,-0.22,-0.03
CCc1sc2cncn2c1*,Cc1sc2cncn2c1*,5,-0.28,-0.37,-0.46,-0.09
Cc1sc2cncn2c1*,CCc1sc2cncn2c1*,5,0.28,0.37,0.46,0.09
Fc1ccc(*)cc1Cl,Fc1ccc(*)cc1F,5,0.13,-0.03,0.12,0.15
c1ccc(*)cc1,c1csc(*)c1,5,-0.1,0.04,-0.08,-0.12
O*,CO*,5,-0.06,-0.03,-0.08,-0.05
FC(F)(F)*,CC(C)(C)*,5,-0.63,-0.5,-0.88,-0.38
CO*,O*,5,0.06,0.03,0.08,0.05
CC1(C)CCC(*)CC1,C1CCC(*)CC1,5,0.51,0.24,0.63,0.39
FC(F)(F)*,F*,5,0.55,0.29,0.7,0.41
Fc1ccc(*)cc1F,Fc1ccc(*)cc1Cl,5,-0.13,0.03,-0.12,-0.15
c1ccc(*)cc1,C1CCC(*)CC1,5,0.66,0.45,0.89,0.44
C1CCC(C*)C1,CC1(C)CC(*)C1,5,0.58,0.48,0.82,0.34
CC1(C)CC(*)C1,C1CCC(C*)C1,5,-0.58,-0.48,-0.82,-0.34
F*,FC(F)(F)*,5,-0.55,-0.29,-0.7,-0.41
CC1(*)CCCC1,CC1(C)CC(*)C1,4,-0.37,0.94,0.09,-0.84
C1CCC(*)C1,CC*,4,0.32,1.06,0.85,-0.21
C*,OC*,4,0.15,0.13,0.22,0.08
C1CCC(*)CC1,c1csc(*)c1,4,-0.45,-0.05,-0.48,-0.43
Fc1cccc(*)c1,Clc1ccc(*)cc1,4,-0.03,-0.19,-0.13,0.06
OC*,C*,4,-0.15,-0.13,-0.22,-0.08
FC(F)(F)*,FC(F)*,4,0.28,0.5,0.53,0.03
C1CCC(*)CC1,CC1(C)CCC(*)C1,4,-0.21,-0.24,-0.33,-0.09
Clc1ccc(*)cc1,Fc1ccc(*)cc1,4,0.0,-0.01,-0.0,0.01
CCC*,CC*,4,0.43,0.28,0.57,0.29
Fc1ccc(*)cc1,c1ccc(*)cc1,4,0.33,-0.28,0.19,0.47
c1ccc(*)cc1,CCC*,4,0.2,0.65,0.52,-0.12
C1CCC(C*)C1,CC1(C)CCC(C*)CC1,4,-0.48,0.09,-0.44,-0.53
CC1(*)CCCC1,C1CCC(C*)C1,4,-0.99,0.46,-0.76,-1.22
c1ccc(*)cc1,COc1ccc(*)cc1,4,-0.33,0.05,-0.31,-0.36
CO*,CC*,4,0.17,0.05,0.19,0.14
FC(F)*,FC(F)(F)*,4,-0.28,-0.5,-0.53,-0.03
O*,CC(=O)O*,4,-0.26,-0.03,-0.27,-0.24
CCC*,c1ccc(*)cc1,4,-0.2,-0.65,-0.52,0.12
CCC*,FC(F)(F)*,4,0.06,0.33,0.22,-0.1
c1ccc(*)cc1,Clc1cccc(*)c1,4,0.0,0.35,0.18,-0.17
CC1(C)CC(*)C1,CC1(C)CCC(C*)CC1,4,-1.1,-0.4,-1.3,-0.91
COc1ccc(*)cc1,c1ccc(*)cc1,4,0.33,-0.05,0.31,0.36
C1CC1*,c1ccc(*)cc1,4,-0.58,-1.1,-1.14,-0.03
c1ccc(*)cc1,CC1(*)CCCCC1,4,0.89,0.03,0.91,0.88
CC*,C1CCC(*)C1,4,-0.32,-1.06,-0.85,0.21
Fc1ccc(*)cc1,Clc1ccc(*)cc1,4,-0.0,0.01,0.0,-0.01
CC1(*)CCCCC1,c1ccc(*)cc1,4,-0.89,-0.03,-0.91,-0.88
C1CCC(*)C1,C1CCCC(*)CC1,4,-0.03,-0.0,-0.03,-0.03
Clc1ccc(*)cc1,Fc1cccc(*)c1,4,0.03,0.19,0.13,-0.06
CC*,CCC*,4,-0.43,-0.28,-0.57,-0.29
CC*,CC(C)(C)*,4,-1.27,-0.67,-1.6,-0.93
CC(=O)O*,O*,4,0.26,0.03,0.27,0.24
CC1(C)CCC(*)CC1,CC1(C)CCC(*)C1,4,0.19,-0.09,0.14,0.23
N*,C*,4,-0.02,-0.05,-0.05,0.0
Fc1cccc(*)c1,c1ccc(*)cc1,4,0.03,-0.14,-0.04,0.1
C*,N*,4,0.02,0.05,0.05,0.0
C*,Br*,4,0.4,0.05,0.42,0.37
Br*,C*,4,-0.4,-0.05,-0.42,-0.37
CC(C)(C)*,CC*,4,1.27,0.67,1.6,0.93
c1ccc(*)cc1,C1CC1*,4,0.58,1.1,1.14,0.03
Clc1cccc(*)c1,Fc1ccc(*)cc1,4,-0.12,0.04,-0.1,-0.14
Fc1ccc(*)cc1,Fc1cccc(*)c1,4,-0.06,0.18,0.03,-0.16
Fc1ccc(*)cc1,Clc1cccc(*)c1,4,0.12,-0.04,0.1,0.14
Fc1ccc(*)cc1,Fc1ccc(*)cc1F,4,0.17,0.07,0.21,0.13
CC1(C)CCC(C*)CC1,C1CCC(C*)C1,4,0.48,-0.09,0.44,0.53
Fc1ccc(*)cc1,Brc1ccc(*)cc1,4,-0.12,0.16,-0.04,-0.19
c1csc(*)c1,C1CCC(*)CC1,4,0.45,0.05,0.48,0.43
Fc1ccc(*)cc1F,Fc1ccc(*)cc1,4,-0.17,-0.07,-0.21,-0.13
Clc1cccc(*)c1,c1ccc(*)cc1,4,-0.0,-0.35,-0.18,0.17
C*,O=C(O)*,4,-0.1,-0.05,-0.12,-0.08
C1CCCC(*)CC1,C1CCC(*)C1,4,0.03,0.0,0.03,0.03
Brc1ccc(*)cc1,Fc1ccc(*)cc1,4,0.12,-0.16,0.04,0.19
CC(C)*,FC(F)(F)*,4,0.34,-0.07,0.3,0.38
C1CCC(*)CC1,CC1(*)CCCC1,4,0.47,-0.25,0.34,0.6
FC(F)(F)*,CC(C)*,4,-0.34,0.07,-0.3,-0.38
C1CCC(C*)C1,CC1(*)CCCC1,4,0.99,-0.46,0.76,1.22
CC1(C)CC(*)C1,CC1(*)CCCC1,4,0.37,-0.94,-0.09,0.84
CC1(*)CCCC1,C1CCC(*)CC1,4,-0.47,0.25,-0.34,-0.6
C1CCC(*)CC1,C1CCC(C*)C1,4,-0.49,0.07,-0.46,-0.53
FC(F)(F)*,CCC*,4,-0.06,-0.33,-0.22,0.1
c1ccc(*)cc1,Fc1ccc(*)cc1,4,-0.33,0.28,-0.19,-0.47
C1CC(*)C1,C*,4,0.54,0.3,0.69,0.39
CC1(C)CCC(*)C1,CC1(C)CCC(*)CC1,4,-0.19,0.09,-0.14,-0.23
c1ccc(*)cc1,Fc1cccc(*)c1,4,-0.03,0.14,0.04,-0.1
CC1(C)CC(*)C1,C1CCC(*)CC1,4,-0.02,-0.51,-0.28,0.23
CC1(C)CCC(*)C1,C1CCC(*)CC1,4,0.21,0.24,0.33,0.09
O=C(O)*,C*,4,0.1,0.05,0.12,0.08
CC*,CO*,4,-0.17,-0.05,-0.19,-0.14
CC1(C)CCC(C*)CC1,CC1(C)CC(*)C1,4,1.1,0.4,1.3,0.91
C*,C1CC(*)C1,4,-0.54,-0.3,-0.69,-0.39
C1CCC(*)CC1,CC1(C)CC(*)C1,4,0.02,0.51,0.28,-0.23
Fc1cccc(*)c1,Fc1ccc(*)cc1,4,0.06,-0.18,-0.03,0.16
C1CCC(C*)C1,C1CCC(*)CC1,4,0.49,-0.07,0.46,0.53
C1CC1*,Br*,3,-0.06,-0.21,-0.17,0.04
CC1(C)CC(*)C1,c1ccc(*)cc1,3,-0.88,-0.61,-1.18,-0.57
CC1CCC(*)CC1,C1CCC(*)CC1,3,0.26,0.05,0.29,0.23
Br*,C1CC1*,3,0.06,0.21,0.17,-0.04
FC(F)(F)*,C1CCC(*)C1,3,-0.3,-1.13,-0.87,0.26
CC1(C)CCC(*)C1,CC1CCC(*)CC1,3,-0.16,0.18,-0.07,-0.25
Clc1ccc(*)cc1,c1ccc(*)cc1,3,-0.37,0.04,-0.35,-0.4
CC1(C)CCC(*)C1,CC1(C)CCC(C*)CC1,3,-0.65,0.04,-0.63,-0.67
C1CC1*,c1cc(*)cs1,3,-0.25,-0.99,-0.75,0.24
FC1(F)CC(*)C1,C1CCC(*)C1,3,0.55,-0.16,0.47,0.63
CN(C)*,CN1CCN(*)CC1,3,-0.08,0.14,-0.01,-0.15
FC(F)(F)*,C1CC(*)C1,3,-0.43,-0.27,-0.57,-0.3
C1CCC(*)CC1,CC1CCCC(*)C1,3,-0.11,-0.12,-0.17,-0.05
CN1CCN(*)CC1,CN(C)*,3,0.08,-0.14,0.01,0.15
CC1(C)CCC(*)C1,CC1(*)CCCCC1,3,0.38,-0.35,0.21,0.56
CC1CCC(*)CC1,CC1(C)CCC(*)C1,3,0.16,-0.18,0.07,0.25
Clc1ccc(*)cc1,Clc1cccc(*)c1,3,-0.2,-0.03,-0.21,-0.18
CC1(C)CCC(*)C1,CC1(C)CC(*)C1,3,0.41,0.57,0.69,0.12
FC(F)(F)*,C=C*,3,1.03,-0.9,0.58,1.49
CC1CCC(*)CC1,CC1(C)CCC(*)CC1,3,-0.08,0.01,-0.07,-0.08
FC1(F)CC(*)C1,c1ccc(*)cc1,3,0.25,-0.28,0.11,0.39
CC1CCC(*)CC1,C1CCC(*)C1,3,0.23,0.03,0.24,0.21
C1CC1*,C=C*,3,0.59,-0.8,0.19,0.99
CC1(C)CCC(*)C1,CC1CCCC(*)C1,3,0.08,0.16,0.16,0.01
C1CCC(*)CC1,CC1(*)CCCCC1,3,0.07,-0.2,-0.03,0.18
Cc1cccc(*)c1,c1ccc(*)cc1,3,-0.08,0.76,0.3,-0.46
C1CCC(*)C1,CC1CCCC(*)C1,3,-0.1,-0.06,-0.14,-0.07
CC1(C)CCC(C*)CC1,c1ccc(*)cc1,3,0.17,-0.33,0.01,0.33
CCN(CC)C(=O)*,C*,3,-0.28,0.16,-0.2,-0.36
CC1(C)CCC(C*)CC1,C1CCC(*)CC1,3,1.05,-0.03,1.04,1.07
CC1(C)CCC(C*)CC1,C1CCC(*)C1,3,0.71,-0.11,0.65,0.76
CC1(C)CCC(C*)CC1,C1CCC(C*)CC1,3,0.62,0.49,0.86,0.37
C1CCC(*)C1,CC1(C)CC(*)C1,3,0.35,0.64,0.67,0.03
FC(F)(F)O*,CO*,3,0.14,0.17,0.22,0.05
C*,CCN(CC)C(=O)*,3,0.28,-0.16,0.2,0.36
C1CCC(*)C1,CC1(C)CCC(C*)CC1,3,-0.71,0.11,-0.65,-0.76
CC1(C)CCC(C*)CC1,CC1(C)CCC(*)C1,3,0.65,-0.04,0.63,0.67
CC1(C)CCC(C*)CC1,CC1(*)CCCCC1,3,1.12,-0.34,0.95,1.29
C1CCC(*)C1,CC1CCC(*)CC1,3,-0.23,-0.03,-0.24,-0.21
CC1(C)CCC(C*)C1,C1CCC(C*)CC1,3,0.22,0.34,0.39,0.05
CO*,FC(F)(F)O*,3,-0.14,-0.17,-0.22,-0.05
COc1ccc(*)cc1,Fc1ccc(*)cc1,3,-0.15,-0.13,-0.22,-0.08
O=C(O)*,Cl*,3,0.64,-0.04,0.62,0.66
COc1ccc(*)cc1,FC(F)(F)c1ccc(*)cc1,3,-0.81,-0.18,-0.91,-0.72
Cl*,O=C(O)*,3,-0.64,0.04,-0.62,-0.66
C1CCC(*)C1,C1CCC(C*)C1,3,-0.3,0.05,-0.27,-0.33
C1CCC(*)C1,C1CCC(C*)CC1,3,-0.33,0.36,-0.15,-0.52
Fc1ccc(*)cc1,COc1ccc(*)cc1,3,0.15,0.13,0.22,0.08
C1CCC(*)C1,c1csc(*)c1,3,-0.54,-0.02,-0.55,-0.54
Fc1ccc(*)cc1,Fc1ccc(*)cc1Cl,3,0.19,0.04,0.21,0.17
CC1(C)CCC(*)CC1,CC1CCC(*)CC1,3,0.08,-0.01,0.07,0.08
CC1(C)CCC(*)CC1,CC1CCCC(*)C1,3,0.25,0.19,0.35,0.16
Fc1ccc(*)cc1Cl,Fc1ccc(*)cc1,3,-0.19,-0.04,-0.21,-0.17
C1CCC(*)C1,CC1(*)CCCCC1,3,0.36,-0.39,0.17,0.56
CC1(C)CCC(*)C1,c1ccc(*)cc1,3,-0.57,-0.24,-0.69,-0.45
C1CCC(*)CC1,CC1CCC(*)CC1,3,-0.26,-0.05,-0.29,-0.23
C1CCC(*)C1,c1cc(*)cs1,3,-0.2,0.05,-0.18,-0.23
C1CC1*,C1CCC(*)C1,3,-0.01,-1.07,-0.55,0.52
C1CC(*)C1,CC(C)(C)*,3,-0.51,-0.25,-0.63,-0.38
Cc1cccc(*)c1,Clc1cccc(*)c1,3,-0.0,0.84,0.42,-0.42
Cc1cccc(*)c1,Fc1ccc(*)cc1,3,-0.16,0.9,0.29,-0.61
