action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,2927831,[],CHEMBL1043001,"Inhibition of tryptophan 2,3-dioxygenase",B,,,BAO_0000190,BAO_0000357,single protein format,Nc1nonc1/C(=N/O)Nc1ccc(F)c(Cl)c1,,,CHEMBL1154769,J Med Chem,2009,,,CHEMBL584991,,CHEMBL584991,,0,http://www.openphacts.org/units/Nanomolar,852921,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2140,Homo sapiens,"Tryptophan 2,3-dioxygenase",9606,,,IC50,uM,UO_0000065,,10.0
,,2927832,[],CHEMBL1043002,"Inhibition of tryptophan 2,3-dioxygenase by cell-based assay",B,,,BAO_0000190,BAO_0000219,cell-based format,Nc1nonc1/C(=N/O)Nc1ccc(F)c(Cl)c1,,,CHEMBL1154769,J Med Chem,2009,,,CHEMBL584991,,CHEMBL584991,,0,http://www.openphacts.org/units/Nanomolar,852921,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2140,Homo sapiens,"Tryptophan 2,3-dioxygenase",9606,,,IC50,uM,UO_0000065,,10.0
,,10931177,[],CHEMBL2044106,Inhibition of human purified TDO assessed as formation of kynurenine from N-formylkynurenine preincubated for 10 mins measured after 5 to 20 mins by discontinuous colorimetric method,B,,,BAO_0000190,BAO_0000357,single protein format,Fc1ccc2c(/C=C/c3cccnc3)c[nH]c2c1,,,CHEMBL2040834,Eur J Med Chem,2012,"{'bei': '24.70', 'le': '0.45', 'lle': '2.02', 'sei': '20.52'}",,CHEMBL355606,,CHEMBL355606,5.89,0,http://www.openphacts.org/units/Nanomolar,1650495,=,1,1,=,,IC50,nM,,1300.0,CHEMBL2140,Homo sapiens,"Tryptophan 2,3-dioxygenase",9606,,,IC50,uM,UO_0000065,,1.3
,,10931178,[],CHEMBL2044106,Inhibition of human purified TDO assessed as formation of kynurenine from N-formylkynurenine preincubated for 10 mins measured after 5 to 20 mins by discontinuous colorimetric method,B,,,BAO_0000190,BAO_0000357,single protein format,Clc1ccc2[nH]cc(/C=C/c3cccnc3)c2c1,,,CHEMBL2040834,Eur J Med Chem,2012,"{'bei': '19.63', 'le': '0.38', 'lle': '0.61', 'sei': '17.43'}",,CHEMBL1812512,,CHEMBL1812512,5.00,0,http://www.openphacts.org/units/Nanomolar,1650496,=,1,1,=,,IC50,nM,,10000.0,CHEMBL2140,Homo sapiens,"Tryptophan 2,3-dioxygenase",9606,,,IC50,uM,UO_0000065,,10.0
,,10931179,[],CHEMBL2044106,Inhibition of human purified TDO assessed as formation of kynurenine from N-formylkynurenine preincubated for 10 mins measured after 5 to 20 mins by discontinuous colorimetric method,B,,,BAO_0000190,BAO_0000357,single protein format,Clc1ccc2c(/C=C/c3cccnc3)c[nH]c2c1,,,CHEMBL2040834,Eur J Med Chem,2012,"{'bei': '20.81', 'le': '0.40', 'lle': '0.91', 'sei': '18.48'}",,CHEMBL1812520,,CHEMBL1812520,5.30,0,http://www.openphacts.org/units/Nanomolar,1650497,=,1,1,=,,IC50,nM,,5000.0,CHEMBL2140,Homo sapiens,"Tryptophan 2,3-dioxygenase",9606,,,IC50,uM,UO_0000065,,5.0
,,10931180,[],CHEMBL2044106,Inhibition of human purified TDO assessed as formation of kynurenine from N-formylkynurenine preincubated for 10 mins measured after 5 to 20 mins by discontinuous colorimetric method,B,,,BAO_0000190,BAO_0000357,single protein format,Clc1cccc2c(/C=C/c3cccnc3)c[nH]c12,,,CHEMBL2040834,Eur J Med Chem,2012,,,CHEMBL1812527,,CHEMBL1812527,,0,http://www.openphacts.org/units/Nanomolar,1650498,>,1,1,>,,IC50,nM,,50000.0,CHEMBL2140,Homo sapiens,"Tryptophan 2,3-dioxygenase",9606,,,IC50,uM,UO_0000065,,50.0
,,10931182,[],CHEMBL2044108,Inhibition of human purified TDO assessed as initial rate of L-Trp oxidation at 100 uM of substrate concentration,B,,,BAO_0000190,BAO_0000357,single protein format,Clc1cccc2c(/C=C/c3cccnc3)c[nH]c12,,,CHEMBL2040834,Eur J Med Chem,2012,"{'bei': '17.65', 'le': '0.34', 'lle': '0.10', 'sei': '15.67'}",,CHEMBL1812527,,CHEMBL1812527,4.50,0,http://www.openphacts.org/units/Nanomolar,1650498,=,1,1,=,,IC50,nM,,32000.0,CHEMBL2140,Homo sapiens,"Tryptophan 2,3-dioxygenase",9606,,,IC50,uM,UO_0000065,,32.0
,,12038856,[],CHEMBL2150233,Inhibition of human TDO transfected in mouse P815B clone 19 cells by HPLC analysis,B,,,BAO_0000190,BAO_0000219,cell-based format,c1ccc(-c2cnn[nH]2)cc1,,,CHEMBL2146377,J Med Chem,2012,,,CHEMBL193664,,CHEMBL193664,,0,http://www.openphacts.org/units/Nanomolar,1729058,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2140,Homo sapiens,"Tryptophan 2,3-dioxygenase",9606,,,IC50,uM,UO_0000065,,100.0
,,12038857,[],CHEMBL2150233,Inhibition of human TDO transfected in mouse P815B clone 19 cells by HPLC analysis,B,,,BAO_0000190,BAO_0000219,cell-based format,Fc1ccc(-c2cnn[nH]2)cc1,,,CHEMBL2146377,J Med Chem,2012,,,CHEMBL1909735,,CHEMBL1909735,,0,http://www.openphacts.org/units/Nanomolar,1729061,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2140,Homo sapiens,"Tryptophan 2,3-dioxygenase",9606,,,IC50,uM,UO_0000065,,100.0
,,12038858,[],CHEMBL2150233,Inhibition of human TDO transfected in mouse P815B clone 19 cells by HPLC analysis,B,,,BAO_0000190,BAO_0000219,cell-based format,Clc1cccc(-c2c[nH]nn2)c1,,,CHEMBL2146377,J Med Chem,2012,,,CHEMBL2147989,,CHEMBL2147989,,0,http://www.openphacts.org/units/Nanomolar,1729065,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2140,Homo sapiens,"Tryptophan 2,3-dioxygenase",9606,,,IC50,uM,UO_0000065,,100.0
