pref_name,molecule_chembl_id,class,ido1_pred,tdo2_pred,ido1_prob,tdo2_prob,ido1_ad,tdo2_ad,selectivity,first_approval,clean_smiles
OSILODROSTAT,CHEMBL3099695,dual,6.472970553973774,6.08047083977243,0.4513111111111111,0.501,0.38461538461538464,0.38461538461538464,0.39249971420134333,2020.0,N#Cc1ccc([C@H]2CCc3cncn32)c(F)c1
ENSARTINIB,CHEMBL4113131,ido1_selective,7.300677788319432,5.3882923935905245,0.7195,0.20533333333333334,0.3103448275862069,0.26595744680851063,1.9123853947289078,2024.0,C[C@@H]1CN(C(=O)c2ccc(NC(=O)c3cc(O[C@H](C)c4c(Cl)ccc(F)c4Cl)c(N)nn3)cc2)C[C@H](C)N1
TOLVAPTAN,CHEMBL344159,ido1_selective,7.235540621047582,4.959507258524418,0.7191666666666666,0.146,0.32926829268292684,0.2682926829268293,2.2760333625231635,2009.0,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1
CONIVAPTAN,CHEMBL1755,ido1_selective,7.10003483666081,5.369307905954144,0.538,0.322,0.30337078651685395,0.26506024096385544,1.7307269307066662,2005.0,Cc1nc2c([nH]1)-c1ccccc1N(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)CC2
ROFLUMILAST,CHEMBL193240,ido1_selective,7.069111413424618,5.486132953288117,0.5725,0.28,0.3048780487804878,0.3048780487804878,1.5829784601365002,2010.0,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1
LEMBOREXANT,CHEMBL3545367,ido1_selective,7.024329303389625,5.285684097462833,0.621,0.219,0.31868131868131866,0.2857142857142857,1.738645205926792,2020.0,Cc1ncc(OC[C@@]2(c3cccc(F)c3)C[C@H]2C(=O)Nc2ccc(F)cn2)c(C)n1
RIPRETINIB,CHEMBL4216467,ido1_selective,6.954504356543387,5.308746238042667,0.6985,0.244,0.30120481927710846,0.27710843373493976,1.6457581185007202,2020.0,CCn1c(=O)c(-c2cc(NC(=O)Nc3ccccc3)c(F)cc2Br)cc2cnc(NC)cc21
LAROTRECTINIB,CHEMBL3889654,ido1_selective,6.937804797677479,4.798874986294753,0.6436904761904761,0.24933333333333335,0.3125,0.3010752688172043,2.1389298113827255,2018.0,O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1
MORICIZINE,CHEMBL1075,ido1_selective,6.885735082813036,5.420345002082892,0.587,0.308,0.32051282051282054,0.24,1.4653900807301437,1990.0,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2
GLASDEGIB,CHEMBL2043437,ido1_selective,6.8286750693735065,4.977099145627901,0.6283333333333333,0.149,0.3424657534246575,0.3023255813953488,1.8515759237456058,2018.0,CN1CC[C@@H](NC(=O)Nc2ccc(C#N)cc2)C[C@@H]1c1nc2ccccc2[nH]1
REGORAFENIB,CHEMBL1946170,ido1_selective,6.817038724321296,5.174404113132016,0.626,0.188,0.30120481927710846,0.34523809523809523,1.6426346111892807,2012.0,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1
DELAVIRDINE,CHEMBL593,ido1_selective,6.814392150287844,5.333679530161322,0.44658333333333333,0.2876666666666667,0.313953488372093,0.23809523809523808,1.4807126201265222,1997.0,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1
MIZOLASTINE,CHEMBL94454,ido1_selective,6.666192319020521,5.2692021990259645,0.3868571428571429,0.3,0.3055555555555556,0.273972602739726,1.3969901199945562,1998.0,CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1
TRAMETINIB,CHEMBL2103875,ido1_selective,6.616033462711689,5.2545867305120435,0.6725,0.329,0.3118279569892473,0.2823529411764706,1.3614467321996457,2013.0,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1
TAMIBAROTENE,CHEMBL25202,ido1_selective,6.600957465575876,4.948130565067026,0.494,0.078,0.3125,0.296875,1.6528269005088498,,CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21
EDOXABAN,CHEMBL1269025,ido1_selective,6.513496748726626,5.176117465504146,0.6948333333333333,0.2263333333333333,0.32954545454545453,0.2978723404255319,1.3373792832224805,2015.0,CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1
NATEGLINIDE,CHEMBL783,ido1_selective,6.491117853182964,5.401025363693423,0.38311111111111107,0.15566666666666668,0.3050847457627119,0.3050847457627119,1.0900924894895416,2000.0,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1
TETRABENAZINE,CHEMBL117785,ido1_selective,6.452315517593278,5.3116672525266155,0.2533333333333333,0.2,0.3235294117647059,0.18666666666666668,1.1406482650666625,2008.0,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2
METHYLPHENIDATE,CHEMBL796,ido1_selective,6.422570527390894,5.180398303578537,0.2513333333333333,0.14933333333333332,0.32,0.24,1.2421722238123571,1955.0,COC(=O)C(c1ccccc1)C1CCCCN1
DEXMETHYLPHENIDATE,CHEMBL827,ido1_selective,6.422570527390894,5.180398303578537,0.2513333333333333,0.14933333333333332,0.32,0.24,1.2421722238123571,2001.0,COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1
CETIRIZINE,CHEMBL1000,ido1_selective,6.398346952069665,5.368987113228523,0.2672,0.15,0.32653061224489793,0.32653061224489793,1.0293598388411418,1995.0,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
LEVOCETIRIZINE DIHYDROCHLORIDE,CHEMBL1201190,ido1_selective,6.398346952069665,5.368987113228523,0.2672,0.15,0.32653061224489793,0.32653061224489793,1.0293598388411418,2007.0,O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1
BICALUTAMIDE,CHEMBL409,ido1_selective,6.382620030451006,5.045781221146371,0.578,0.2092,0.3387096774193548,0.2602739726027397,1.336838809304635,1995.0,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
LUMACAFTOR,CHEMBL2103870,ido1_selective,6.374981206648305,5.103579181755178,0.484,0.20866666666666667,0.30952380952380953,0.2125,1.2714020248931268,2015.0,Cc1ccc(NC(=O)C2(c3ccc4c(c3)OC(F)(F)O4)CC2)nc1-c1cccc(C(=O)O)c1
HYDROXYZINE,CHEMBL896,ido1_selective,6.308802567922336,5.393715722477323,0.17666666666666667,0.194,0.3404255319148936,0.3404255319148936,0.9150868454450132,1956.0,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
EZOGABINE,CHEMBL41355,ido1_selective,6.29276315116348,5.346350528704735,0.544,0.194,0.3157894736842105,0.26865671641791045,0.9464126224587446,2011.0,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N
SUNITINIB,CHEMBL535,ido1_selective,6.2750377795496854,4.477592943991626,0.5065,0.25,0.3194444444444444,0.3194444444444444,1.7974448355580597,2006.0,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
MECLIZINE,CHEMBL1623,ido1_selective,6.257100431775531,5.494121550026578,0.144,0.18,0.3333333333333333,0.3333333333333333,0.7629788817489533,1957.0,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1
VISMODEGIB,CHEMBL473417,ido1_selective,6.224016093899274,5.32229136134614,0.474,0.224,0.3125,0.2839506172839506,0.9017247325531343,2012.0,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1
BUCLIZINE,CHEMBL1201271,ido1_selective,6.193157091640407,5.359437607683744,0.14,0.143,0.3125,0.3125,0.8337194839566626,1982.0,CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1
HEXYLCAINE,CHEMBL1197,ido1_selective,6.174283442694431,5.44425242783685,0.242,0.1785,0.3968253968253968,0.24615384615384617,0.7300310148575813,1982.0,CC(CNC1CCCCC1)OC(=O)c1ccccc1
AVAPRITINIB,CHEMBL4204794,ido1_selective,6.163727239629106,5.4535101102990895,0.4005656565656565,0.3086666666666667,0.3058823529411765,0.3058823529411765,0.7102171293300161,2020.0,Cn1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1
BENPERIDOL,CHEMBL297302,ido1_selective,6.16197129424265,5.284362923179413,0.3571666666666667,0.25,0.38095238095238093,0.23170731707317074,0.8776083710632374,,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
PHTHALYLSULFATHIAZOLE,CHEMBL1524273,ido1_selective,6.155210305028234,4.923090440401369,0.496,0.188,0.35714285714285715,0.2638888888888889,1.2321198646268652,,O=C(O)c1ccccc1C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
BENZTROPINE MESYLATE,CHEMBL1200383,ido1_selective,6.124499324622946,5.252376105279543,0.2687,0.18933333333333333,0.3333333333333333,0.30952380952380953,0.8721232193434032,1954.0,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2
HOMATROPINE METHYLBROMIDE,CHEMBL1200851,ido1_selective,6.122294238586906,5.348306184058739,0.3743333333333333,0.1423333333333333,0.3111111111111111,0.22950819672131148,0.773988054528167,1943.0,C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2
BROMAZEPAM,CHEMBL277062,ido1_selective,6.116815587931394,4.75821013255954,0.37820000000000004,0.201,0.30357142857142855,0.2698412698412698,1.3586054553718538,,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1
RANOLAZINE,CHEMBL1404,ido1_selective,6.111458367608991,5.3565532729810945,0.3444666666666667,0.249,0.41935483870967744,0.27692307692307694,0.7549050946278966,2006.0,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1
SULPIRIDE,CHEMBL26,ido1_selective,6.102579590545817,5.074614559773762,0.384,0.17599999999999996,0.3048780487804878,0.2727272727272727,1.0279650307720551,,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
SAFINAMIDE MESYLATE,CHEMBL48582,ido1_selective,6.101501430164446,5.349660320054686,0.41,0.202,0.43478260869565216,0.2777777777777778,0.7518411101097602,2015.0,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O
GLIBORNURIDE,CHEMBL529888,ido1_selective,6.098204905518977,5.438389275698861,0.33316666666666667,0.22719999999999999,0.3157894736842105,0.265625,0.6598156298201161,,Cc1ccc(S(=O)(=O)NC(=O)N[C@H]2[C@H]3CC[C@@](C)([C@H]2O)C3(C)C)cc1
FLECAINIDE,CHEMBL652,ido1_selective,6.083949083808283,5.2132393521065215,0.4015,0.23908333333333331,0.34285714285714286,0.34285714285714286,0.8707097317017611,1985.0,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F
PIMOZIDE,CHEMBL1423,ido1_selective,6.046786811043501,5.425121858979779,0.30350000000000005,0.306,0.43333333333333335,0.2318840579710145,0.6216649520637221,1984.0,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
