method,target,bin_type,bin,coverage,mean_width,n
standard,IDO1,ALL,ALL,0.8707482993197279,2.47667641500908,294
standard,TDO2,ALL,ALL,0.9013605442176871,2.3617517344184416,294
standard,M,ALL,ALL,0.8809523809523809,2.054618733417652,294
standard,D,ALL,ALL,0.891156462585034,2.3879519624872825,294
standard,IDO1,AD,Q1_near,0.918918918918919,2.47667641500908,74
standard,IDO1,AD,Q2,0.8356164383561644,2.47667641500908,73
standard,IDO1,AD,Q3,0.8904109589041096,2.47667641500908,73
standard,IDO1,AD,Q4_far,0.8378378378378378,2.47667641500908,74
standard,IDO1,DOC,Q1_near,0.9054054054054054,2.47667641500908,74
standard,IDO1,DOC,Q2,0.9178082191780822,2.47667641500908,73
standard,IDO1,DOC,Q3,0.821917808219178,2.47667641500908,73
standard,IDO1,DOC,Q4_far,0.8378378378378378,2.47667641500908,74
normalized,IDO1,ALL,ALL,0.891156462585034,2.625130418919384,294
normalized,TDO2,ALL,ALL,0.8877551020408163,2.2926395151045877,294
normalized,M,ALL,ALL,0.8945578231292517,2.1501948136010585,294
normalized,D,ALL,ALL,0.95578231292517,2.8725792611219685,294
normalized,IDO1,AD,Q1_near,0.8918918918918919,2.2291678144967206,74
normalized,IDO1,AD,Q2,0.8493150684931506,2.479736568381046,73
normalized,IDO1,AD,Q3,0.8904109589041096,2.7375407975556163,73
normalized,IDO1,AD,Q4_far,0.9324324324324325,3.053630772650881,74
normalized,IDO1,DOC,Q1_near,0.8918918918918919,2.2310380176149525,74
normalized,IDO1,DOC,Q2,0.9041095890410958,2.4691481715793295,73
normalized,IDO1,DOC,Q3,0.8356164383561644,2.7361794954081335,73
normalized,IDO1,DOC,Q4_far,0.9324324324324325,3.063548786063617,74
pacr,IDO1,ALL,ALL,0.9149659863945578,2.896520332910775,294
pacr,TDO2,ALL,ALL,0.9183673469387755,2.5342894435330323,294
pacr,M,ALL,ALL,0.9115646258503401,2.3548975703487893,294
pacr,D,ALL,ALL,0.9693877551020408,3.2085502708654534,294
pacr,IDO1,AD,Q1_near,0.9054054054054054,2.36801744573407,74
pacr,IDO1,AD,Q2,0.863013698630137,2.6552521976707597,73
pacr,IDO1,AD,Q3,0.9178082191780822,2.985717039710312,73
pacr,IDO1,AD,Q4_far,0.972972972972973,3.5750396292247077,74
pacr,IDO1,DOC,Q1_near,0.9054054054054054,2.3677448371858465,74
pacr,IDO1,DOC,Q2,0.9178082191780822,2.637266325251255,73
pacr,IDO1,DOC,Q3,0.863013698630137,2.9925236486703497,73
pacr,IDO1,DOC,Q4_far,0.972972972972973,3.5863404301045674,74
