molecule_chembl_id,pref_name,clean_smiles,first_approval,pred_IDO1,pred_TDO2,pred_M,pred_D,LCB_IDO1,LCB_TDO2,LCB_dual,P_dual_active,P_balanced_dual,AD_maxTanimoto,in_domain,LCB_dual_standard,LCB_dual_normalized,LCB_dual_pacr,AD_dist_to_paired,PACR_chem_dist_to_ptr,PACR_doc_dist_to_ptr
CHEMBL601719,CRIZOTINIB,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,2011.0,6.46,5.76,6.11,0.69,5.03,4.59,4.59,0.282,0.249,0.258,False,5.521972531532091,5.442591949098892,5.292916732669735,0.7422681,0.7422681,0.823628693819046
CHEMBL1183717,ALMITRINE,C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,,6.37,5.99,6.18,0.37,4.94,4.82,4.82,0.387,0.376,0.221,False,5.346344478544841,5.3308359919255235,5.252470364945772,0.7794118,0.7848101,0.8108108043670654
CHEMBL1789941,RUXOLITINIB,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,2011.0,6.25,5.99,6.12,0.26,4.82,4.81,4.81,0.365,0.359,0.224,False,5.412716713300693,5.364931342721077,5.2359599379727335,0.7763158,0.8076923,0.812395304441452
CHEMBL1714574,TERCONAZOLE,CC(C)N1CCN(c2ccc(OCC3COC(Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,1987.0,6.69,6.34,6.52,0.36,5.27,5.16,5.16,0.646,0.613,0.245,False,5.429434394233047,5.3297357148885025,5.181970299943093,0.75454545,0.8113208,0.8194514811038971
CHEMBL43064,CINNARIZINE,C(=C\c1ccccc1)/CN1CCN(C(c2ccccc2)c2ccccc2)CC1,,6.21,5.95,6.08,0.26,4.78,4.78,4.78,0.337,0.331,0.222,False,5.279856019369686,5.3415026548526185,5.157840823193229,0.7777778,0.82258064,0.8388320505619049
CHEMBL1201005,CEFONICID SODIUM,O=C([O-])C1=C(CSc2nnnn2CS(=O)(=O)[O-])CS[C@@H]2[C@H](NC(=O)[C@H](O)c3ccccc3)C(=O)N12,1984.0,6.15,5.85,6.0,0.3,4.73,4.67,4.67,0.298,0.293,0.198,False,5.333516770153534,5.3372678923132995,5.132423380141035,0.8021978,0.8080808,0.8139354139566422
CHEMBL1697760,MUZOLIMINE,CC(c1ccc(Cl)c(Cl)c1)N1N=C(N)CC1=O,,6.28,5.96,6.12,0.32,4.86,4.78,4.78,0.365,0.359,0.312,True,5.239871264410447,5.259181659817897,5.131917707567352,0.6875,0.7368421,0.7885994911193848
CHEMBL1422,SITAGLIPTIN,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,2006.0,6.34,6.38,6.36,-0.05,4.91,5.21,4.91,0.564,0.514,0.233,False,5.278778838206912,5.327155869612062,5.129525149380886,0.7671233,0.8181818,0.821378543972969
CHEMBL144673,HEXETIDINE,CCCCC(CC)CN1CN(CC(CC)CCCC)CC(C)(N)C1,,6.72,6.37,6.54,0.35,5.29,5.19,5.19,0.652,0.613,0.129,False,5.330797276927033,5.327151036619914,5.128174160173656,0.87096775,0.8875,0.8976214677095413
CHEMBL1008,BEPRIDIL,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,1990.0,6.08,5.8,5.94,0.29,4.66,4.62,4.62,0.26,0.254,0.186,False,5.294185232554365,5.317571529411152,5.121470386877899,0.8135593,0.82857144,0.8461038917303085
CHEMBL1601,CEFONICID,O=C(O)C1=C(CSc2nnnn2CS(=O)(=O)O)CS[C@@H]2[C@H](NC(=O)[C@H](O)c3ccccc3)C(=O)N12,1984.0,6.18,5.87,6.03,0.31,4.76,4.7,4.7,0.304,0.298,0.216,False,5.297212221139782,5.305610588618532,5.117485235115521,0.7840909,0.8041237,0.8101500868797302
CHEMBL489411,AMOROLFINE,CCC(C)(C)c1ccc(CC(C)CN2C[C@@H](C)O[C@@H](C)C2)cc1,,6.0,5.66,5.83,0.34,4.57,4.48,4.48,0.199,0.193,0.179,False,5.298333882061587,5.26138778910275,5.109076877569225,0.82142854,0.8333333,0.8514927476644516
CHEMBL982,NALMEFENE,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,1995.0,6.37,5.86,6.11,0.51,4.94,4.68,4.68,0.32,0.309,0.165,False,5.1956946775242265,5.213683238448731,5.108504124404237,0.8352941,0.8367347,0.8617265671491623
CHEMBL4594382,DEURUXOLITINIB PHOSPHATE,[2H]C1([2H])C([C@@H](CC#N)n2cc(-c3ncnc4[nH]ccc34)cn2)C([2H])([2H])C([2H])([2H])C1([2H])[2H],2024.0,6.25,6.05,6.15,0.2,4.82,4.87,4.82,0.381,0.376,0.161,False,5.421699581585336,5.334546039141594,5.098862408886849,0.8387097,0.85,0.8556701093912125
CHEMBL1492,DIPHENYLPYRALINE,CN1CCC(OC(c2ccccc2)c2ccccc2)CC1,1982.0,6.26,5.97,6.11,0.28,4.83,4.8,4.8,0.359,0.354,0.317,True,5.273873776518888,5.283710178398725,5.097137259812982,0.68292683,0.7833333,0.80523781478405
CHEMBL3989958,IVOSIDENIB,N#Cc1ccnc(N2C(=O)CC[C@H]2C(=O)N(c2cncc(F)c2)[C@H](C(=O)NC2CC(F)(F)C2)c2ccccc2Cl)c1,2018.0,6.15,5.69,5.92,0.46,4.72,4.52,4.52,0.227,0.21,0.239,False,5.257287086339285,5.269624202409471,5.0887907067337546,0.7614679,0.7614679,0.779989093542099
CHEMBL3099695,OSILODROSTAT,N#Cc1ccc([C@H]2CCc3cncn32)c(F)c1,2020.0,6.65,6.19,6.42,0.46,5.23,5.02,5.02,0.575,0.536,0.385,True,5.3932121285752315,5.200683580110063,5.088761089568428,0.6153846,0.6153846,0.7097709774971008
CHEMBL648,CYCLIZINE,CN1CCN(C(c2ccccc2)c2ccccc2)CC1,1982.0,6.19,6.01,6.1,0.18,4.76,4.83,4.76,0.359,0.348,0.259,False,5.232613086699346,5.243438935660327,5.088292613250555,0.7407408,0.75438595,0.817330002784729
CHEMBL1254682,LEVALLORPHAN,C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,1982.0,6.11,5.98,6.05,0.13,4.69,4.8,4.69,0.331,0.32,0.192,False,5.252871132929667,5.1697649322682295,5.085406513222962,0.8082192,0.825,0.8341275751590729
CHEMBL1754,DOXAPRAM,CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,1965.0,6.37,6.23,6.3,0.14,4.95,5.05,4.95,0.508,0.481,0.253,False,5.331610780836792,5.273312696621137,5.07546847952105,0.7468355,0.77922076,0.8102452903985977
CHEMBL231779,APIXABAN,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,2011.0,6.61,6.42,6.51,0.2,5.19,5.24,5.19,0.657,0.619,0.23,False,5.243225412037458,5.211167085845417,5.0753900475617115,0.7702703,0.7702703,0.8055855929851532
CHEMBL15870,INDOPROFEN,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,1979.0,6.39,6.24,6.31,0.15,4.96,5.06,4.96,0.514,0.486,0.286,False,5.240283842073198,5.216564891413725,5.071850027126424,0.71428573,0.71428573,0.7564835250377655
CHEMBL188952,PIRPROFEN,CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1,1987.0,6.03,6.0,6.01,0.03,4.6,4.82,4.6,0.304,0.293,0.271,False,5.077875606367058,5.089005795384306,5.0631033572769715,0.7291666,0.8115942,0.8195935785770416
