clean_smiles,pIC50_cox1,src_doc_cox1,molid_cox1,pIC50_cox2,src_doc_cox2,molid_cox2,M,D,scaffold,src_doc
Brc1ccc(OCCOc2nc3ccccc3s2)c(Br)c1,5.29,CHEMBL4725304,CHEMBL4793035,6.44,CHEMBL4725304,CHEMBL4793035,5.865,-1.1500000000000004,c1ccc(OCCOc2nc3ccccc3s2)cc1,CHEMBL4725304
Brc1ccc(OCCOc2nc3ccccc3s2)cc1,5.27,CHEMBL4725304,CHEMBL4800449,6.3,CHEMBL4725304,CHEMBL4800449,5.785,-1.0300000000000002,c1ccc(OCCOc2nc3ccccc3s2)cc1,CHEMBL4725304
Brc1ccccc1-n1cc(CSc2nc3ccccc3o2)nn1,4.42,CHEMBL3259784,CHEMBL3264698,5.56,CHEMBL3259784,CHEMBL3264698,4.99,-1.1399999999999997,c1ccc(-n2cc(CSc3nc4ccccc4o3)nn2)cc1,CHEMBL3259784
C#CCCCC(=O)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,6.6,CHEMBL1131087,CHEMBL13878,7.0,CHEMBL1131087,CHEMBL13878,6.8,-0.40000000000000036,c1ccccc1,CHEMBL1131087
C#CCCCC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,7.22,CHEMBL1131303,CHEMBL13920,7.82,CHEMBL1131303,CHEMBL13920,7.52,-0.6000000000000005,c1ccc2c(c1)CCO2,CHEMBL1131303
C#Cc1cc(Cl)c2c(c1)C=C(C(=O)O)C(C(F)(F)F)O2,6.85,CHEMBL1287644,CHEMBL1288640,7.58,CHEMBL1287644,CHEMBL1288640,7.215,-0.7300000000000004,C1=Cc2ccccc2OC1,CHEMBL1287644
C#Cc1ccc2c(c1)C=C(C(=O)O)C(C(F)(F)F)O2,4.03,CHEMBL1287644,CHEMBL1288538,7.14,CHEMBL1287644,CHEMBL1288538,5.585,-3.1099999999999994,C1=Cc2ccccc2OC1,CHEMBL1287644
C/C(=C/Cc1c(O)ccc(C(=O)/C=C/c2ccc(O)cc2)c1O)COC(=O)/C=C/c1ccc(O)cc1,4.85,CHEMBL1159315,CHEMBL497716,4.42,CHEMBL1159315,CHEMBL497716,4.635,0.4299999999999997,O=C(C=Cc1ccccc1)OCC=CCc1cccc(C(=O)C=Cc2ccccc2)c1,CHEMBL1159315
C/C(=C1/SC(N=C(N)N)=NC1=O)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,6.23,CHEMBL1132621,CHEMBL278246,4.92,CHEMBL1132621,CHEMBL278246,5.575,1.3100000000000005,O=C1N=CSC1=Cc1ccccc1,CHEMBL1132621
C/C(=C\Cc1c(O)ccc(C(=O)/C=C/c2ccc(O)cc2)c1O)COC(=O)/C=C/c1ccc(O)cc1,4.93,CHEMBL1159315,CHEMBL517334,4.82,CHEMBL1159315,CHEMBL517334,4.875,0.10999999999999943,O=C(C=Cc1ccccc1)OCC=CCc1cccc(C(=O)C=Cc2ccccc2)c1,CHEMBL1159315
C/C(=C\c1cc(O)cc(O)c1)c1ccc(O)cc1,5.72,CHEMBL1140997,CHEMBL474127,5.8,CHEMBL1140997,CHEMBL474127,5.76,-0.08000000000000007,C(=Cc1ccccc1)c1ccccc1,CHEMBL1140997
C/C(=C\c1cc(O)cc(O)c1)c1cccc(F)c1,5.31,CHEMBL1140997,CHEMBL468886,5.59,CHEMBL1140997,CHEMBL468886,5.449999999999999,-0.28000000000000025,C(=Cc1ccccc1)c1ccccc1,CHEMBL1140997
C/C(=C\c1ccc(C(F)(F)F)cc1)c1ccc(O)cc1,4.44,CHEMBL1140997,CHEMBL491079,6.33,CHEMBL1140997,CHEMBL491079,5.385,-1.8899999999999997,C(=Cc1ccccc1)c1ccccc1,CHEMBL1140997
C/C(=C\c1ccc(N(C)C)cc1)c1cc(O)cc(O)c1,4.97,CHEMBL1140997,CHEMBL489489,5.76,CHEMBL1140997,CHEMBL489489,5.365,-0.79,C(=Cc1ccccc1)c1ccccc1,CHEMBL1140997
C/C(=C\c1ccc(O)cc1)c1cc(O)cc(O)c1,5.72,CHEMBL1140997,CHEMBL491080,5.75,CHEMBL1140997,CHEMBL491080,5.734999999999999,-0.03000000000000025,C(=Cc1ccccc1)c1ccccc1,CHEMBL1140997
C/C(=N\N=C1\CC(C)C(=O)N1C)c1cc2ccccc2oc1=O,4.25,CHEMBL4118289,CHEMBL4129191,6.41,CHEMBL4118289,CHEMBL4129191,5.33,-2.16,O=C1CCC(=NN=Cc2cc3ccccc3oc2=O)N1,CHEMBL4118289
C/C(=N\N=C1\CCC(=O)N1C)c1cc2ccccc2oc1=O,4.25,CHEMBL4118289,CHEMBL4127794,6.51,CHEMBL4118289,CHEMBL4127794,5.38,-2.26,O=C1CCC(=NN=Cc2cc3ccccc3oc2=O)N1,CHEMBL4118289
C=C1C(c2ccccc2)=C(c2ccc(S(C)(=O)=O)cc2)C1(C)C,6.92,CHEMBL1129773,CHEMBL92443,8.66,CHEMBL1129773,CHEMBL92443,7.79,-1.7400000000000002,C=C1CC(c2ccccc2)=C1c1ccccc1,CHEMBL1129773
C=C1CC(c2ccc(S(C)(=O)=O)cc2)=C1c1ccccc1,6.27,CHEMBL1129773,CHEMBL91118,8.92,CHEMBL1129773,CHEMBL91118,7.595,-2.6500000000000004,C=C1CC(c2ccccc2)=C1c1ccccc1,CHEMBL1129773
C=CCN(CC=C)C(=O)/C=C/c1c(/C=C/c2ccc(OC)cc2)cc(OC)cc1OC,4.46,CHEMBL2331353,CHEMBL2334134,5.1,CHEMBL2331353,CHEMBL2334134,4.779999999999999,-0.6399999999999997,C(=Cc1ccccc1)c1ccccc1,CHEMBL2331353
C=CCOc1c(OC)c(OC)cc2oc(C)cc(=O)c12,4.42,CHEMBL1681761,CHEMBL1684141,4.67,CHEMBL1681761,CHEMBL1684141,4.545,-0.25,O=c1ccoc2ccccc12,CHEMBL1681761
C=CCOc1c(OC)cc2oc(C)cc(=O)c2c1O,4.58,CHEMBL1681761,CHEMBL1684148,4.74,CHEMBL1681761,CHEMBL1684148,4.66,-0.16000000000000014,O=c1ccoc2ccccc12,CHEMBL1681761
C=CCOc1cc2oc(C)cc(=O)c2c(O)c1OCC=C,4.67,CHEMBL1681761,CHEMBL1684150,4.87,CHEMBL1681761,CHEMBL1684150,4.77,-0.20000000000000018,O=c1ccoc2ccccc12,CHEMBL1681761
C=C[C@@H]1[C@@H](O)C[C@@H]2[C@]3(CC[C@]4(C)[C@@H]([C@H](C)CCC=C(C)C)CC[C@@]24C)C[C@]13CCC(=O)O,4.36,CHEMBL1134097,CHEMBL39521,5.33,CHEMBL1134097,CHEMBL39521,4.845000000000001,-0.9699999999999998,C1CC2CCC34CC3CCCC4C2C1,CHEMBL1134097
C=Cc1cc(Cl)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2,6.85,CHEMBL1287761,CHEMBL1288618,7.75,CHEMBL1287761,CHEMBL1288618,7.3,-0.9000000000000004,C1=Cc2ccccc2OC1,CHEMBL1287761
C=Cc1csc(Sc2cc3c(cc2NS(C)(=O)=O)COC3=O)n1,4.92,CHEMBL1132512,CHEMBL41405,6.68,CHEMBL1132512,CHEMBL41405,5.8,-1.7599999999999998,O=C1OCc2ccc(Sc3nccs3)cc21,CHEMBL1132512
