rank,molecule_chembl_id,pref_name,pred_pIC50,pred_active_prob,nn_tanimoto_to_potent,nn_potent_id,nn_potent_pIC50,ad_max_sim_to_train,in_domain,pains,consensus_score,first_approval,withdrawn_flag,clean_smiles
1,CHEMBL2103868,CABOZANTINIB S-MALATE,7.890346996312799,0.7786666666666667,0.4305555555555556,CHEMBL6047285,9.10790539730952,0.4305555555555556,True,False,0.9989526602429828,2012.0,False,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC
2,CHEMBL344159,TOLVAPTAN,7.235540621047583,0.7191666666666666,0.32926829268292684,CHEMBL4799004,8.301029995663981,0.32926829268292684,True,False,0.988898198575618,2009.0,False,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1
3,CHEMBL3545367,LEMBOREXANT,7.0243293033896235,0.621,0.31868131868131866,CHEMBL5843867,8.698970004336019,0.31868131868131866,True,False,0.9838709677419355,2020.0,False,Cc1ncc(OC[C@@]2(c3cccc(F)c3)C[C@H]2C(=O)Nc2ccc(F)cn2)c(C)n1
4,CHEMBL111,RIMONABANT,6.975492346831687,0.5805,0.31645569620253167,CHEMBL4755227,8.795880017344075,0.31645569620253167,True,False,0.9828236279849183,2006.0,True,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1
5,CHEMBL4113131,ENSARTINIB,7.300677788319431,0.7195,0.3103448275862069,CHEMBL4648765,7.790435346129012,0.3103448275862069,True,False,0.9824046920821115,2024.0,False,C[C@@H]1CN(C(=O)c2ccc(NC(=O)c3cc(O[C@H](C)c4c(Cl)ccc(F)c4Cl)c(N)nn3)cc2)C[C@H](C)N1
6,CHEMBL1075,MORICIZINE,6.885735082813039,0.587,0.32051282051282054,CHEMBL3765405,7.113509274827518,0.32051282051282054,True,False,0.9817762882279011,1990.0,False,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2
7,CHEMBL1755,CONIVAPTAN,7.100034836660809,0.538,0.30337078651685395,CHEMBL4855740,8.522878745280337,0.30337078651685395,True,False,0.9780058651026393,2005.0,False,Cc1nc2c([nH]1)-c1ccccc1N(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)CC2
8,CHEMBL193240,ROFLUMILAST,7.069111413424616,0.5725,0.3026315789473684,CHEMBL4860098,7.853871964321762,0.3048780487804878,True,False,0.9769585253456221,2010.0,False,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1
9,CHEMBL4216467,RIPRETINIB,6.954504356543387,0.6985,0.30120481927710846,CHEMBL5410789,7.0055745424641565,0.30120481927710846,True,False,0.9738165060745706,2020.0,False,CCn1c(=O)c(-c2cc(NC(=O)Nc3ccccc3)c(F)cc2Br)cc2cnc(NC)cc21
10,CHEMBL2043437,GLASDEGIB,6.828675069373506,0.6283333333333333,0.3103448275862069,CHEMBL5942565,7.244887733604929,0.3424657534246575,True,False,0.9738165060745706,2018.0,False,CN1CC[C@@H](NC(=O)Nc2ccc(C#N)cc2)C[C@@H]1c1nc2ccccc2[nH]1
11,CHEMBL3889654,LAROTRECTINIB,6.937804797677477,0.6436904761904761,0.3010752688172043,CHEMBL4764848,8.096910013008056,0.3125,True,False,0.9731881022203603,2018.0,False,O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1
12,CHEMBL188952,PIRPROFEN,6.824118380914882,0.363,0.29850746268656714,CHEMBL4799004,8.301029995663981,0.29850746268656714,False,False,0.9671135316296606,1987.0,True,CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1
13,CHEMBL1450,ATOVAQUONE,6.519292571691546,0.29,0.39215686274509803,CHEMBL4872488,8.040958607678906,0.39215686274509803,True,True,0.9587348135735232,1992.0,False,O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21
14,CHEMBL1419,SIBUTRAMINE,6.866739347303571,0.3223333333333333,0.2857142857142857,CHEMBL4873156,8.481486060122112,0.2857142857142857,False,False,0.9587348135735232,1997.0,True,CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1
15,CHEMBL1173655,AFATINIB,6.752082800205022,0.723,0.2912621359223301,CHEMBL5814507,9.060480747381382,0.2912621359223301,False,False,0.9566401340594889,2013.0,False,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1
16,CHEMBL939,GEFITINIB,6.611909174586633,0.64,0.3146067415730337,CHEMBL6012237,7.393373973901802,0.32098765432098764,True,False,0.956221198156682,2003.0,False,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
17,CHEMBL420762,MOZAVAPTAN,7.083264905109529,0.64,0.27710843373493976,CHEMBL4214437,7.853871964321762,0.2976190476190476,False,False,0.954754922496858,2006.0,False,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(N(C)C)c3ccccc32)cc1
18,CHEMBL2103875,TRAMETINIB,6.6160334627116875,0.6725,0.3118279569892473,CHEMBL5957228,7.16304326294045,0.3118279569892473,True,False,0.9547549224968579,2013.0,False,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1
19,CHEMBL25202,TAMIBAROTENE,6.600957465575877,0.494,0.3125,CHEMBL4637907,8.080921907623926,0.3125,True,False,0.952869710934227,,False,CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21
20,CHEMBL4596392,CRAVACITINIB,6.524198872563081,0.5391666666666667,0.3333333333333333,CHEMBL5814027,7.442492798094342,0.3333333333333333,True,False,0.9527649769585254,2022.0,False,CNC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC
21,CHEMBL4208229,ASCIMINIB,7.087159564058581,0.6755,0.27450980392156865,CHEMBL5939057,7.522878745280337,0.27450980392156865,False,False,0.9520318391286133,2021.0,False,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cc[nH]n2)c1
22,CHEMBL1983268,ENTRECTINIB,6.738136052574497,0.6391166666666667,0.2871287128712871,CHEMBL5899659,7.135488918941608,0.2871287128712871,False,False,0.9509844993715961,2019.0,False,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1
23,CHEMBL3099695,OSILODROSTAT,6.472970553973774,0.4513111111111111,0.38461538461538464,CHEMBL4463063,7.090443970758825,0.38461538461538464,True,False,0.9497276916631755,2020.0,False,N#Cc1ccc([C@H]2CCc3cncn32)c(F)c1
